Hour,$/kWh
526,0.05628
527,0.05319
528,0.05109
529,0.04947
530,0.05265
531,0.05206
532,0.05128
533,0.05109
534,0.05329
535,0.05366
536,0.05806
537,0.05394
538,0.04841
539,0.01076
540,0.00795
541,0.00726
542,0.00033
543,0.00079
544,0.01344
545,0.03807
546,0.04852
547,0.05383
548,0.05868
549,0.06013
550,0.06008
551,0.06013
552,0.05545
553,0.05255
554,0.05265
555,0.05192
556,0.05176
557,0.05195
558,0.05301
559,0.0546
560,0.05588
561,0.05453
562,0.04861
563,0.03942
564,0.00029
565,0.00028
566,0.00028
567,0.00028
568,0.00028
569,0.03098
570,0.04699
571,0.05019
572,0.05229
573,0.0566
574,0.05325
575,0.05109
576,0.05027
577,0.04542
578,0.04801
579,0.05013
580,0.05109
581,0.05226
582,0.05109
583,0.05579
584,0.06236
585,0.06369
586,0.05109
587,0.03826
588,0.00277
589,0.0003
590,0.00028
591,0.00028
592,0.00031
593,0.03826
594,0.05259
595,0.06002
596,0.05888
597,0.05888
598,0.05713
599,0.05868
600,0.05267
601,0.04595
602,0.04717
603,0.05329
604,0.05172
605,0.05053
606,0.05109
607,0.05172
608,0.05283
609,0.04801
610,0.0381
611,0.03098
612,0.00031
613,0.00028
614,0.00028
615,0.00028
616,0.00028
617,0.03098
618,0.04667
619,0.0485
620,0.04841
621,0.04973
622,0.0498
623,0.04899
624,0.04673
625,0.04383
626,0.03718
627,0.04538
628,0.04124
629,0.03723
630,0.03813
631,0.03826
632,0.05109
633,0.04801
634,0.01031
635,0.00028
636,0.00028
637,0.00028
638,0.00028
639,0.00028
640,0.00028
641,0.00029
642,0.05014
643,0.05474
644,0.05806
645,0.0582
646,0.05597
647,0.05327
648,0.04842
649,0.04534
650,0.04329
651,0.04329
652,0.04114
653,0.0384
654,0.04029
655,0.04801
656,0.0516
657,0.05247
658,0.04564
659,0.0081
660,0.00028
661,0.00028
662,0.00028
663,0.00028
664,0.0003
665,0.03942
666,0.05319
667,0.0565
668,0.05917
669,0.05917
670,0.05838
671,0.0565
672,0.05312
673,0.04933
674,0.04959
675,0.05014
676,0.04943
677,0.04888
678,0.04943
679,0.05329
680,0.05646
681,0.05745
682,0.05312
683,0.02727
684,0.00246
685,0.00029
686,0.00029
687,0.0003
688,0.0039
689,0.04329
690,0.05376
691,0.05838
692,0.05938
693,0.05704
694,0.05247
695,0.05312
696,0.05211
697,0.04839
698,0.0466
699,0.04682
700,0.04225
701,0.042
702,0.04225
703,0.04797
704,0.05029
705,0.05034
706,0.04564
707,0.04216
708,0.03102
709,0.02331
710,0.01196
711,0.02331
712,0.03098
713,0.038
714,0.05109
715,0.05381
716,0.05702
717,0.05991
718,0.05991
719,0.06019
720,0.05576
721,0.0524
722,0.05316
723,0.05176
724,0.0503
725,0.05004
726,0.04909
727,0.05014
728,0.05276
729,0.05105
730,0.04594
731,0.04022
732,0.02841
733,0.01798
734,0.0003
735,0.00029
736,0.01189
737,0.03721
738,0.04983
739,0.05014
740,0.04994
741,0.04979
742,0.04906
743,0.0484
744,0.04564
745,0.038
746,0.04297
747,0.04047
748,0.038
749,0.038
750,0.04047
751,0.0457
752,0.04987
753,0.04889
754,0.03826
755,0.03111
756,0.02213
757,0.02189
758,0.01341
759,0.01341
760,0.0237
761,0.03098
762,0.05113
763,0.04912
764,0.04912
765,0.04869
766,0.04869
767,0.04875
768,0.04566
769,0.0419
770,0.0424
771,0.0501
772,0.04868
773,0.0464
774,0.046
775,0.05066
776,0.05051
777,0.04559
778,0.03098
779,0.0084
780,0.00394
781,0.00029
782,0.00028
783,0.00028
784,0.0024
785,0.03098
786,0.05259
787,0.05485
788,0.05327
789,0.05327
790,0.05474
791,0.0531
792,0.05232
793,0.05105
794,0.04983
795,0.05593
796,0.05356
797,0.0532
798,0.05283
799,0.05441
800,0.05585
801,0.05555
802,0.0546
803,0.00549
804,0.00031
805,0.00028
806,0.00028
807,0.00028
808,0.00031
809,0.05087
810,0.0619
811,0.06224
812,0.06253
813,0.06272
814,0.06246
815,0.06085
816,0.06044
817,0.05725
818,0.05518
819,0.05265
820,0.04987
821,0.05013
822,0.05013
823,0.05283
824,0.05545
825,0.0571
826,0.05585
827,0.05306
828,0.04916
829,0.03965
830,0.03227
831,0.02527
832,0.04883
833,0.05265
834,0.05939
835,0.05811
836,0.05898
837,0.05883
838,0.05754
839,0.05525
840,0.05029
841,0.04733
842,0.04299
843,0.04224
844,0.04094
845,0.04101
846,0.04224
847,0.04791
848,0.05321
849,0.05449
850,0.05117
851,0.05094
852,0.05123
853,0.04729
854,0.04287
855,0.0424
856,0.04106
857,0.05289
858,0.0599
859,0.05781
860,0.05802
861,0.0595
862,0.05662
863,0.05518
864,0.05312
865,0.05077
866,0.04977
867,0.05092
868,0.04948
869,0.04928
870,0.04948
871,0.05094
872,0.05126
873,0.0519
874,0.04297
875,0.03098
876,0.01595
877,0.0003
878,0.0003
879,0.00075
880,0.00677
881,0.03098
882,0.04981
883,0.05374
884,0.05105
885,0.05058
886,0.05107
887,0.05105
888,0.04938
889,0.04255
890,0.04091
891,0.038
892,0.038
893,0.038
894,0.038
895,0.04334
896,0.05094
897,0.05312
898,0.05183
899,0.0193
900,0.00031
901,0.00029
902,0.00029
903,0.00033
904,0.02521
905,0.04956
906,0.05372
907,0.06122
908,0.06218
909,0.06218
910,0.06209
911,0.06085
912,0.05327
913,0.04938
914,0.04987
915,0.05058
916,0.04924
917,0.04586
918,0.05056
919,0.0565
920,0.05698
921,0.05657
922,0.05329
923,0.0412
924,0.00264
925,0.00072
926,0.00028
927,0.00031
928,0.0084
929,0.04756
930,0.05252
931,0.0594
932,0.05865
933,0.05802
934,0.05672
935,0.05518
936,0.0532
937,0.04977
938,0.05265
939,0.05292
940,0.05236
941,0.04993
942,0.04928
943,0.05094
944,0.05263
945,0.05191
946,0.04243
947,0.00511
948,0.00034
949,0.00028
950,0.00028
951,0.00028
952,0.00079
953,0.04586
954,0.05297
955,0.05999
956,0.05936
957,0.05906
958,0.0565
959,0.05312
960,0.05105
961,0.04898
962,0.04911
963,0.05094
964,0.04947
965,0.04948
966,0.05064
967,0.05134
968,0.05382
969,0.0547
970,0.04585
971,0.00291
972,0.00028
973,0.00028
974,0.00028
975,0.00028
976,0.00028
977,0.03718
978,0.05319
979,0.06117
980,0.0619
981,0.06179
982,0.06185
983,0.05576
984,0.05286
985,0.05202
986,0.05083
987,0.05051
988,0.04948
989,0.04942
990,0.04948
991,0.05253
992,0.05662
993,0.05564
994,0.0546
995,0.04756
996,0.02448
997,0.02433
998,0.01189
999,0.02647
1000,0.04702
1001,0.05259
1002,0.05518
1003,0.05693
1004,0.05904
1005,0.06037
1006,0.05723
1007,0.05509
1008,0.0532
1009,0.05265
1010,0.0531
1011,0.05319
1012,0.05261
1013,0.05256
1014,0.05191
1015,0.05322
1016,0.05773
1017,0.06226
1018,0.05402
1019,0.05191
1020,0.03734
1021,0.02607
1022,0.01954
1023,0.01919
1024,0.03719
1025,0.04784
1026,0.05312
1027,0.06144
1028,0.06218
1029,0.06218
1030,0.05824
1031,0.05517
1032,0.05283
1033,0.05199
1034,0.05202
1035,0.0519
1036,0.05175
1037,0.05117
1038,0.05117
1039,0.05229
1040,0.05716
1041,0.05994
1042,0.0518
1043,0.04626
1044,0.04356
1045,0.04094
1046,0.04094
1047,0.03734
1048,0.04702
1049,0.0519
1050,0.05373
1051,0.06068
1052,0.06253
1053,0.06338
1054,0.06218
1055,0.0565
1056,0.05401
1057,0.0531
1058,0.05265
1059,0.05259
1060,0.05173
1061,0.05082
1062,0.05064
1063,0.0521
1064,0.06002
1065,0.0556
1066,0.04363
1067,0.00098
1068,0.0003
1069,0.00028
1070,0.00029
1071,0.00029
1072,0.01223
1073,0.04602
1074,0.05255
1075,0.05954
1076,0.06015
1077,0.06095
1078,0.05802
1079,0.05412
1080,0.0532
1081,0.05116
1082,0.05107
1083,0.04987
1084,0.04849
1085,0.04534
1086,0.04878
1087,0.05124
1088,0.05837
1089,0.06218
1090,0.05723
1091,0.05356
1092,0.04541
1093,0.04152
1094,0.04687
1095,0.05056
1096,0.05241
1097,0.05195
1098,0.06084
1099,0.061
1100,0.06154
1101,0.06044
1102,0.05779
1103,0.05555
1104,0.05385
1105,0.05181
1106,0.05117
1107,0.05559
1108,0.05338
1109,0.05236
1110,0.05195
1111,0.05286
1112,0.05579
1113,0.0532
1114,0.05042
1115,0.04356
1116,0.04152
1117,0.04086
1118,0.0357
1119,0.03718
1120,0.03155
1121,0.04234
1122,0.05255
1123,0.05701
1124,0.05627
1125,0.0565
1126,0.05577
1127,0.0547
1128,0.05171
1129,0.04915
1130,0.04721
1131,0.05058
1132,0.05124
1133,0.05117
1134,0.05117
1135,0.05135
1136,0.0532
1137,0.05193
1138,0.05106
1139,0.03718
1140,0.00084
1141,0.00104
1142,0.00032
1143,0.03744
1144,0.03632
1145,0.03721
1146,0.05106
1147,0.05348
1148,0.05485
1149,0.05796
1150,0.05796
1151,0.05369
1152,0.0531
1153,0.05148
1154,0.04801
1155,0.04805
1156,0.04729
1157,0.04729
1158,0.04924
1159,0.05066
1160,0.05628
1161,0.05763
1162,0.04868
1163,0.0053
1164,0.00029
1165,0.00029
1166,0.00028
1167,0.00246
1168,0.00447
1169,0.04878
1170,0.05355
1171,0.05799
1172,0.06252
1173,0.06319
1174,0.06195
1175,0.05595
1176,0.05327
1177,0.05265
1178,0.05292
1179,0.0546
1180,0.05482
1181,0.05387
1182,0.05372
1183,0.05518
1184,0.06265
1185,0.06218
1186,0.04539
1187,0.0084
1188,0.00031
1189,0.00033
1190,0.00032
1191,0.0084
1192,0.03718
1193,0.04983
1194,0.05369
1195,0.06131
1196,0.06375
1197,0.0642
1198,0.06345
1199,0.06037
1200,0.05583
1201,0.05356
1202,0.05328
1203,0.05322
1204,0.05329
1205,0.0531
1206,0.05291
1207,0.0531
1208,0.0565
1209,0.0565
1210,0.04075
1211,0.00326
1212,0.00029
1213,0.00029
1214,0.0003
1215,0.00084
1216,0.025
1217,0.04735
1218,0.05382
1219,0.06218
1220,0.06218
1221,0.06044
1222,0.0563
1223,0.05694
1224,0.05265
1225,0.05115
1226,0.05081
1227,0.05329
1228,0.05372
1229,0.05107
1230,0.05082
1231,0.05251
1232,0.05762
1233,0.0565
1234,0.03737
1235,0.0003
1236,0.00028
1237,0.00028
1238,0.00028
1239,0.0003
1240,0.00809
1241,0.04656
1242,0.0532
1243,0.06389
1244,0.06071
1245,0.06184
1246,0.05962
1247,0.05913
1248,0.0532
1249,0.0511
1250,0.05116
1251,0.05265
1252,0.05329
1253,0.05283
1254,0.05124
1255,0.05251
1256,0.05587
1257,0.05533
1258,0.0418
1259,0.00209
1260,0.00029
1261,0.00028
1262,0.00028
1263,0.00029
1264,0.00181
1265,0.04461
1266,0.05346
1267,0.06218
1268,0.05765
1269,0.05618
1270,0.05708
1271,0.05106
1272,0.04982
1273,0.04878
1274,0.04709
1275,0.05094
1276,0.05094
1277,0.04942
1278,0.05062
1279,0.05028
1280,0.05312
1281,0.04334
1282,0.03098
1283,0.00029
1284,0.00028
1285,0.00028
1286,0.00028
1287,0.00028
1288,0.00031
1289,0.04709
1290,0.05283
1291,0.06327
1292,0.06012
1293,0.05931
1294,0.05816
1295,0.0546
1296,0.05291
1297,0.04919
1298,0.04341
1299,0.04559
1300,0.05283
1301,0.05083
1302,0.05005
1303,0.04982
1304,0.04648
1305,0.038
1306,0.0072
1307,0.00028
1308,0.00028
1309,0.00028
1310,0.00028
1311,0.0003
1312,0.01576
1313,0.03102
1314,0.04993
1315,0.0565
1316,0.05449
1317,0.05373
1318,0.05324
1319,0.05262
1320,0.04983
1321,0.04915
1322,0.04868
1323,0.04873
1324,0.04878
1325,0.04924
1326,0.04968
1327,0.05255
1328,0.05562
1329,0.05518
1330,0.04983
1331,0.04866
1332,0.04424
1333,0.04875
1334,0.04779
1335,0.04981
1336,0.05009
1337,0.05195
1338,0.05382
1339,0.06369
1340,0.06218
1341,0.06218
1342,0.06062
1343,0.05765
1344,0.05386
1345,0.05219
1346,0.05285
1347,0.05191
1348,0.05056
1349,0.04928
1350,0.04928
1351,0.04963
1352,0.05465
1353,0.05577
1354,0.05512
1355,0.05301
1356,0.0464
1357,0.03994
1358,0.0362
1359,0.03855
1360,0.0473
1361,0.05301
1362,0.05672
1363,0.06218
1364,0.06352
1365,0.06439
1366,0.0629
1367,0.06006
1368,0.05402
1369,0.05346
1370,0.05309
1371,0.05474
1372,0.0554
1373,0.05412
1374,0.05294
1375,0.05423
1376,0.05694
1377,0.05481
1378,0.04721
1379,0.02565
1380,0.00786
1381,0.00188
1382,0.00393
1383,0.00825
1384,0.03183
1385,0.04221
1386,0.05263
1387,0.06218
1388,0.06218
1389,0.06421
1390,0.06218
1391,0.05904
1392,0.05362
1393,0.05255
1394,0.05372
1395,0.05329
1396,0.0532
1397,0.05319
1398,0.053
1399,0.05381
1400,0.06126
1401,0.05781
1402,0.04103
1403,0.00753
1404,0.00035
1405,0.00028
1406,0.00028
1407,0.00028
1408,0.0003
1409,0.03942
1410,0.05265
1411,0.06218
1412,0.06368
1413,0.06369
1414,0.0626
1415,0.05824
1416,0.05312
1417,0.05105
1418,0.05115
1419,0.05315
1420,0.05278
1421,0.05248
1422,0.05253
1423,0.05612
1424,0.05693
1425,0.05662
1426,0.04592
1427,0.00536
1428,0.0003
1429,0.00031
1430,0.00509
1431,0.00511
1432,0.02907
1433,0.04553
1434,0.04988
1435,0.05295
1436,0.0526
1437,0.05223
1438,0.05223
1439,0.05278
1440,0.05285
1441,0.05282
1442,0.04624
1443,0.04774
1444,0.04945
1445,0.04988
1446,0.05083
1447,0.05263
1448,0.05624
1449,0.05264
1450,0.01601
1451,0.00028
1452,0.00028
1453,0.00028
1454,0.00028
1455,0.00028
1456,0.00028
1457,0.00326
1458,0.03098
1459,0.053
1460,0.05297
1461,0.05179
1462,0.04936
1463,0.04763
1464,0.04635
1465,0.04362
1466,0.0405
1467,0.0405
1468,0.04632
1469,0.04553
1470,0.04553
1471,0.04326
1472,0.05262
1473,0.038
1474,0.0024
1475,0.00028
1476,0.00028
1477,0.00028
1478,0.00028
1479,0.00028
1480,0.00028
1481,0.00028
1482,0.038
1483,0.05286
1484,0.05223
1485,0.04873
1486,0.04988
1487,0.05026
1488,0.05011
1489,0.04635
1490,0.04553
1491,0.04553
1492,0.04118
1493,0.04095
1494,0.04302
1495,0.04819
1496,0.05352
1497,0.05426
1498,0.05392
1499,0.05233
1500,0.04986
1501,0.03942
1502,0.00596
1503,0.00192
1504,0.02458
1505,0.05142
1506,0.05509
1507,0.06122
1508,0.06136
1509,0.05956
1510,0.05716
1511,0.05612
1512,0.05435
1513,0.04986
1514,0.04947
1515,0.0522
1516,0.05203
1517,0.05064
1518,0.05138
1519,0.0526
1520,0.05761
1521,0.05714
1522,0.05232
1523,0.0084
1524,0.00032
1525,0.0003
1526,0.00029
1527,0.00033
1528,0.01586
1529,0.05011
1530,0.05319
1531,0.05772
1532,0.05801
1533,0.05716
1534,0.05698
1535,0.05612
1536,0.05368
1537,0.05223
1538,0.05075
1539,0.04956
1540,0.04908
1541,0.04827
1542,0.04867
1543,0.05077
1544,0.05959
1545,0.05555
1546,0.05015
1547,0.0084
1548,0.00029
1549,0.00028
1550,0.00028
1551,0.00028
1552,0.00033
1553,0.0419
1554,0.05838
1555,0.06171
1556,0.06242
1557,0.06272
1558,0.06171
1559,0.05913
1560,0.06167
1561,0.05223
1562,0.04936
1563,0.05004
1564,0.0475
1565,0.04632
1566,0.04817
1567,0.04885
1568,0.05483
1569,0.05624
1570,0.05223
1571,0.0375
1572,0.01587
1573,0.0003
1574,0.00033
1575,0.01585
1576,0.03274
1577,0.05206
1578,0.05295
1579,0.05936
1580,0.06171
1581,0.06159
1582,0.06052
1583,0.05481
1584,0.0526
1585,0.04624
1586,0.04421
1587,0.04302
1588,0.04102
1589,0.04186
1590,0.04553
1591,0.05021
1592,0.05278
1593,0.053
1594,0.04151
1595,0.00676
1596,0.00291
1597,0.00031
1598,0.00324
1599,0.02896
1600,0.03099
1601,0.03718
1602,0.04929
1603,0.05287
1604,0.05474
1605,0.05236
1606,0.05223
1607,0.05223
1608,0.05003
1609,0.04682
1610,0.04488
1611,0.04272
1612,0.04155
1613,0.04118
1614,0.04308
1615,0.04984
1616,0.05083
1617,0.04662
1618,0.03111
1619,0.02136
1620,0.00326
1621,0.00031
1622,0.00029
1623,0.00029
1624,0.00511
1625,0.03113
1626,0.04929
1627,0.05483
1628,0.05808
1629,0.05845
1630,0.05751
1631,0.05383
1632,0.05236
1633,0.04998
1634,0.04783
1635,0.04776
1636,0.05297
1637,0.05236
1638,0.05236
1639,0.05334
1640,0.05335
1641,0.04534
1642,0.00031
1643,0.00028
1644,0.00028
1645,0.00028
1646,0.00028
1647,0.00031
1648,0.01474
1649,0.03098
1650,0.04956
1651,0.05761
1652,0.06105
1653,0.06141
1654,0.06138
1655,0.05799
1656,0.05083
1657,0.04709
1658,0.04656
1659,0.04624
1660,0.04022
1661,0.038
1662,0.04016
1663,0.04302
1664,0.04658
1665,0.04022
1666,0.03098
1667,0.00811
1668,0.00334
1669,0.00334
1670,0.00315
1671,0.00135
1672,0.00107
1673,0.0282
1674,0.04342
1675,0.05178
1676,0.04645
1677,0.04682
1678,0.04683
1679,0.04577
1680,0.04323
1681,0.04018
1682,0.038
1683,0.04146
1684,0.03969
1685,0.04161
1686,0.04632
1687,0.0496
1688,0.05612
1689,0.05642
1690,0.04847
1691,0.04149
1692,0.03116
1693,0.02079
1694,0.00469
1695,0.01604
1696,0.02344
1697,0.04614
1698,0.05297
1699,0.05478
1700,0.0556
1701,0.05513
1702,0.05316
1703,0.05165
1704,0.04766
1705,0.04532
1706,0.04146
1707,0.04534
1708,0.04448
1709,0.04102
1710,0.04095
1711,0.04873
1712,0.05445
1713,0.05416
1714,0.04584
1715,0.00425
1716,0.00205
1717,0.00034
1718,0.00029
1719,0.00161
1720,0.00426
1721,0.04386
1722,0.05086
1723,0.05551
1724,0.05806
1725,0.05556
1726,0.05795
1727,0.05292
1728,0.04841
1729,0.04151
1730,0.03859
1731,0.04006
1732,0.03867
1733,0.04095
1734,0.04308
1735,0.04632
1736,0.0503
1737,0.04553
1738,0.03757
1739,0.02383
1740,0.0019
1741,0.00031
1742,0.00029
1743,0.00029
1744,0.00031
1745,0.03098
1746,0.03826
1747,0.05262
1748,0.04891
1749,0.04881
1750,0.04946
1751,0.04836
1752,0.04747
1753,0.04624
1754,0.0405
1755,0.0405
1756,0.04095
1757,0.04095
1758,0.04095
1759,0.04263
1760,0.04738
1761,0.038
1762,0.03098
1763,0.03098
1764,0.00418
1765,0.0025
1766,0.00043
1767,0.01727
1768,0.02908
1769,0.03753
1770,0.04974
1771,0.05323
1772,0.05485
1773,0.05486
1774,0.05485
1775,0.05234
1776,0.05026
1777,0.04883
1778,0.04635
1779,0.04659
1780,0.04702
1781,0.04421
1782,0.04207
1783,0.04207
1784,0.05203
1785,0.03098
1786,0.01778
1787,0.00031
1788,0.00029
1789,0.00028
1790,0.00028
1791,0.0003
1792,0.01778
1793,0.03098
1794,0.0476
1795,0.05285
1796,0.05323
1797,0.05011
1798,0.05178
1799,0.04875
1800,0.04645
1801,0.04421
1802,0.04362
1803,0.04353
1804,0.04571
1805,0.04532
1806,0.04381
1807,0.04885
1808,0.04577
1809,0.02984
1810,0.00028
1811,0.00028
1812,0.00028
1813,0.00028
1814,0.00028
1815,0.00028
1816,0.00028
1817,0.01314
1818,0.03098
1819,0.05223
1820,0.05278
1821,0.05278
1822,0.05285
1823,0.05015
1824,0.04776
1825,0.04747
1826,0.04012
1827,0.038
1828,0.038
1829,0.038
1830,0.038
1831,0.03804
1832,0.05034
1833,0.04466
1834,0.00048
1835,0.00028
1836,0.00028
1837,0.00122
1838,0.00234
1839,0.00831
1840,0.03098
1841,0.03102
1842,0.038
1843,0.03963
1844,0.03963
1845,0.04151
1846,0.04102
1847,0.038
1848,0.03716
1849,0.03716
1850,0.03098
1851,0.03098
1852,0.03665
1853,0.03718
1854,0.03718
1855,0.04102
1856,0.03738
1857,0.02775
1858,0.00034
1859,0.00028
1860,0.00028
1861,0.00028
1862,0.00028
1863,0.00028
1864,0.00029
1865,0.01184
1866,0.05031
1867,0.05324
1868,0.05363
1869,0.05223
1870,0.05299
1871,0.05178
1872,0.04636
1873,0.04006
1874,0.04013
1875,0.03814
1876,0.03804
