Hour,$/kWh,,,,,,
408,0.02135,,,,,,
409,0.02856,,,,,,
410,0.02915,,,,,,
411,0.02872,,,,,,
412,0.02886,,,,,,
413,0.03021,,,,,,
414,0.03064,,,,,,
415,0.03186,,,,,,
416,0.1332,,,,,,
417,0.03168,,,,,,
418,0.02965,,,,,,
419,0.0304,,,,,,
420,0.02971,,,,,,
421,0.02566,,,,,,
422,0.02638,,,,,,
423,0.02599,,,,,,
424,0.02438,,,,,,
425,0.02565,,,,,,
426,0.02771,,,,,,
427,0.03077,,,,,,
428,0.03063,,,,,,
429,0.03063,,,,,,
430,0.03083,,,,,,
431,0.0313,,,,,,
432,0.03323,,,,,,
433,0.03187,,,,,,
434,0.03148,,,,,,
435,0.03133,,,,,,
436,0.03129,,,,,,
437,0.03224,,,,,,
438,0.03208,,,,,,
439,0.03434,,,,,,
440,0.03258,,,,,,
441,0.03087,,,,,,
442,0.02907,,,,,,
443,0.02983,,,,,,
444,0.02803,,,,,,
445,0.02821,,,,,,
446,0.02988,,,,,,
447,0.03086,,,,,,
448,0.03077,,,,,,
449,0.03159,,,,,,
450,0.03152,,,,,,
451,0.03234,,,,,,
452,0.03063,,,,,,
453,0.0303,,,,,,
454,0.03158,,,,,,
455,0.03087,,,,,,
456,0.03101,,,,,,
457,0.03278,,,,,,
458,0.03519,,,,,,
459,0.03101,,,,,,
460,0.03157,,,,,,
461,0.03216,,,,,,
462,0.03225,,,,,,
463,0.03241,,,,,,
464,0.03242,,,,,,
465,0.03168,,,,,,
466,0.03287,,,,,,
467,0.03242,,,,,,
468,0.03098,,,,,,
469,0.03063,,,,,,
470,0.03386,,,,,,
471,0.03148,,,,,,
472,0.03006,,,,,,
473,0.03034,,,,,,
474,0.03161,,,,,,
475,0.03462,,,,,,
476,0.03202,,,,,,
477,0.03101,,,,,,
478,0.03131,,,,,,
479,0.03193,,,,,,
480,0.03168,,,,,,
481,0.03024,,,,,,
482,0.02951,,,,,,
483,0.0294,,,,,,
484,0.02876,,,,,,
485,0.02876,,,,,,
486,0.03014,,,,,,
487,0.03234,,,,,,
488,0.17179,,,,,,
489,0.04768,,,,,,
490,0.03155,,,,,,
491,0.03106,,,,,,
492,0.02986,,,,,,
493,0.02967,,,,,,
494,0.02951,,,,,,
495,0.02916,,,,,,
496,0.02907,,,,,,
497,0.02975,,,,,,
498,0.03049,,,,,,
499,0.03193,,,,,,
500,0.03328,,,,,,
501,0.03199,,,,,,
502,0.03064,,,,,,
503,0.03006,,,,,,
504,0.02945,,,,,,
505,0.02803,,,,,,
506,0.02761,,,,,,
507,0.0276,,,,,,
508,0.02759,,,,,,
509,0.02759,,,,,,
510,0.0279,,,,,,
511,0.02945,,,,,,
512,0.02962,,,,,,
513,0.02937,,,,,,
514,0.02625,,,,,,
515,0.02761,,,,,,
516,0.02881,,,,,,
517,0.02772,,,,,,
518,0.03303,,,,,,
519,0.03098,,,,,,
520,0.02978,,,,,,
521,0.0313,,,,,,
522,0.03217,,,,,,
523,0.03347,,,,,,
524,0.03261,,,,,,
525,0.03143,,,,,,
526,0.03101,,,,,,
527,0.0308,,,,,,
528,0.03034,,,,,,
529,0.03063,,,,,,
530,0.02997,,,,,,
531,0.0295,,,,,,
532,0.03038,,,,,,
533,0.03024,,,,,,
534,0.03058,,,,,,
535,0.03364,,,,,,
536,0.14158,,,,,,
537,0.0421,,,,,,
538,0.03038,,,,,,
539,0.03007,,,,,,
540,0.03007,,,,,,
541,0.02803,,,,,,
542,0.02761,,,,,,
543,0.02761,,,,,,
544,0.02763,,,,,,
545,0.02763,,,,,,
546,0.02809,,,,,,
547,0.02781,,,,,,
548,0.02795,,,,,,
549,0.0276,,,,,,
550,0.02676,,,,,,
551,0.02621,,,,,,
552,0.01836,,,,,,
553,0.00011,,,,,,
554,0.01742,,,,,,
555,0.02526,,,,,,
556,0.02542,,,,,,
557,0.02565,,,,,,
558,0.0269,,,,,,
559,0.02874,,,,,,
560,0.03066,,,,,,
561,0.03017,,,,,,
562,0.02721,,,,,,
563,0.02073,,,,,,
564,0.0192,,,,,,
565,0.01835,,,,,,
566,0.01642,,,,,,
567,0.00011,,,,,,
568,0.00011,,,,,,
569,0.01793,,,,,,
570,0.0192,,,,,,
571,0.02803,,,,,,
572,0.0276,,,,,,
573,0.02817,,,,,,
574,0.02761,,,,,,
575,0.02031,,,,,,
576,0.01994,,,,,,
577,0.02647,,,,,,
578,0.02862,,,,,,
579,0.02902,,,,,,
580,0.03087,,,,,,
581,0.03105,,,,,,
582,0.03193,,,,,,
583,0.04616,,,,,,
584,0.06137,,,,,,
585,0.03243,,,,,,
586,0.03032,,,,,,
587,0.02806,,,,,,
588,0.02758,,,,,,
589,0.02704,,,,,,
590,0.02569,,,,,,
591,0.02565,,,,,,
592,0.02561,,,,,,
593,0.02565,,,,,,
594,0.02565,,,,,,
595,0.02688,,,,,,
596,0.02945,,,,,,
597,0.02771,,,,,,
598,0.0208,,,,,,
599,0.01971,,,,,,
600,0.02181,,,,,,
601,0.00008,,,,,,
602,0.00008,,,,,,
603,0.00009,,,,,,
604,0.01794,,,,,,
605,0.02773,,,,,,
606,0.02565,,,,,,
607,0.02769,,,,,,
608,0.02761,,,,,,
609,0.03167,,,,,,
610,0.03063,,,,,,
611,0.01742,,,,,,
612,0.00008,,,,,,
613,0.00011,,,,,,
614,0.00009,,,,,,
615,0.00008,,,,,,
616,0.02023,,,,,,
617,0.02097,,,,,,
618,0.01981,,,,,,
619,0.02688,,,,,,
620,0.02849,,,,,,
621,0.03465,,,,,,
622,0.03168,,,,,,
623,0.02759,,,,,,
624,0.02688,,,,,,
625,0.02388,,,,,,
626,0.02496,,,,,,
627,0.02493,,,,,,
628,0.02159,,,,,,
629,0.01086,,,,,,
630,0.00012,,,,,,
631,0.02533,,,,,,
632,0.02638,,,,,,
633,0.02496,,,,,,
634,0.00008,,,,,,
635,0.0001,,,,,,
636,0.00009,,,,,,
637,0.00016,,,,,,
638,0.00018,,,,,,
639,0.00008,,,,,,
640,0.00008,,,,,,
641,0.01743,,,,,,
642,0.01856,,,,,,
643,0.02709,,,,,,
644,0.05438,,,,,,
645,0.0285,,,,,,
646,0.03431,,,,,,
647,0.03044,,,,,,
648,0.02761,,,,,,
649,0.0259,,,,,,
650,0.02893,,,,,,
651,0.03099,,,,,,
652,0.03133,,,,,,
653,0.03036,,,,,,
654,0.034,,,,,,
655,0.03039,,,,,,
656,0.03085,,,,,,
657,0.03195,,,,,,
658,0.0288,,,,,,
659,0.02887,,,,,,
660,0.02876,,,,,,
661,0.02685,,,,,,
662,0.00012,,,,,,
663,0.00012,,,,,,
664,0.02607,,,,,,
665,0.02687,,,,,,
666,0.02849,,,,,,
667,0.03265,,,,,,
668,0.03407,,,,,,
669,0.03156,,,,,,
670,0.02995,,,,,,
671,0.02869,,,,,,
672,0.02678,,,,,,
673,0.0232,,,,,,
674,0.00009,,,,,,
675,0.00009,,,,,,
676,0.00009,,,,,,
677,0.00009,,,,,,
678,0.01939,,,,,,
679,0.02127,,,,,,
680,0.02319,,,,,,
681,0.02001,,,,,,
682,0.00008,,,,,,
683,0.00008,,,,,,
684,0.00008,,,,,,
685,0.00008,,,,,,
686,0.00008,,,,,,
687,0.00008,,,,,,
688,0.00008,,,,,,
689,0.00008,,,,,,
690,0.00008,,,,,,
691,0.01836,,,,,,
692,0.02002,,,,,,
693,0.02294,,,,,,
694,0.03278,,,,,,
695,0.02688,,,,,,
696,0.02667,,,,,,
697,0.02677,,,,,,
698,0.0192,,,,,,
699,0.02624,,,,,,
700,0.02841,,,,,,
701,0.0344,,,,,,
702,0.02982,,,,,,
703,0.03548,,,,,,
704,0.041,,,,,,
705,0.031,,,,,,
706,0.02978,,,,,,
707,0.02793,,,,,,
708,0.02805,,,,,,
709,0.02822,,,,,,
710,0.02759,,,,,,
711,0.02881,,,,,,
712,0.02666,,,,,,
713,0.02849,,,,,,
714,0.0282,,,,,,
715,0.03099,,,,,,
716,0.02962,,,,,,
717,0.02881,,,,,,
718,0.03051,,,,,,
719,0.02797,,,,,,
720,0.02685,,,,,,
721,0.0276,,,,,,
722,0.02543,,,,,,
723,0.02542,,,,,,
724,0.02542,,,,,,
725,0.0001,,,,,,
726,0.02159,,,,,,
727,0.0276,,,,,,
728,0.04982,,,,,,
729,0.07322,,,,,,
730,0.02,,,,,,
731,0.02388,,,,,,
732,0.02585,,,,,,
733,0.0268,,,,,,
734,0.02364,,,,,,
735,0.0232,,,,,,
736,0.02388,,,,,,
737,0.02565,,,,,,
738,0.02759,,,,,,
739,0.03063,,,,,,
740,0.03195,,,,,,
741,0.03186,,,,,,
742,0.0303,,,,,,
743,0.02971,,,,,,
744,0.02869,,,,,,
745,0.02671,,,,,,
746,0.02668,,,,,,
747,0.02625,,,,,,
748,0.02376,,,,,,
749,0.02449,,,,,,
750,0.02591,,,,,,
751,0.02625,,,,,,
752,0.0274,,,,,,
753,0.02717,,,,,,
754,0.01655,,,,,,
755,0.02043,,,,,,
756,0.00012,,,,,,
757,0.00014,,,,,,
758,0.0004,,,,,,
759,0.00014,,,,,,
760,0.00091,,,,,,
761,0.00019,,,,,,
762,0.02487,,,,,,
763,0.02564,,,,,,
764,0.02928,,,,,,
765,0.02986,,,,,,
766,0.02942,,,,,,
767,0.03358,,,,,,
768,0.03122,,,,,,
769,0.0303,,,,,,
770,0.02913,,,,,,
771,0.02869,,,,,,
772,0.02869,,,,,,
773,0.02811,,,,,,
774,0.02726,,,,,,
775,0.02775,,,,,,
776,0.02864,,,,,,
777,0.02761,,,,,,
778,0.02456,,,,,,
779,0.02481,,,,,,
780,0.02319,,,,,,
781,0.00008,,,,,,
782,0.00008,,,,,,
783,0.02319,,,,,,
784,0.02455,,,,,,
785,0.02496,,,,,,
786,0.03905,,,,,,
787,0.03066,,,,,,
788,0.0276,,,,,,
789,0.02685,,,,,,
790,0.02608,,,,,,
791,0.02565,,,,,,
792,0.00011,,,,,,
793,0.00008,,,,,,
794,0.00008,,,,,,
795,0.00008,,,,,,
796,0.00008,,,,,,
797,0.00008,,,,,,
798,0.00008,,,,,,
799,0.00011,,,,,,
800,0.01634,,,,,,
801,0.03495,,,,,,
802,0.09811,,,,,,
803,0.01115,,,,,,
804,0.01875,,,,,,
805,0.04702,,,,,,
806,0.04685,,,,,,
807,0.02645,,,,,,
808,0.00365,,,,,,
809,0.01599,,,,,,
810,0.01847,,,,,,
811,0.02561,,,,,,
812,0.02729,,,,,,
813,0.02626,,,,,,
814,0.01634,,,,,,
815,0.02274,,,,,,
816,0.02471,,,,,,
817,0.00012,,,,,,
818,0.02239,,,,,,
819,0.02463,,,,,,
820,0.02463,,,,,,
821,0.02471,,,,,,
822,0.02613,,,,,,
823,0.0275,,,,,,
824,0.14034,,,,,,
825,0.02482,,,,,,
826,0.00008,,,,,,
827,0.00012,,,,,,
828,0.00008,,,,,,
829,0.00008,,,,,,
830,0.00008,,,,,,
831,0.00008,,,,,,
832,0.00008,,,,,,
833,0.00012,,,,,,
834,0.02358,,,,,,
835,0.02725,,,,,,
836,0.03289,,,,,,
837,0.02927,,,,,,
838,0.03024,,,,,,
839,0.03022,,,,,,
840,0.02967,,,,,,
841,0.0285,,,,,,
842,0.02812,,,,,,
843,0.0282,,,,,,
844,0.02812,,,,,,
845,0.02812,,,,,,
846,0.02812,,,,,,
847,0.03008,,,,,,
848,0.02927,,,,,,
849,0.02838,,,,,,
850,0.02711,,,,,,
851,0.02638,,,,,,
852,0.02688,,,,,,
853,0.0249,,,,,,
854,0.02393,,,,,,
855,0.02455,,,,,,
856,0.02463,,,,,,
857,0.02639,,,,,,
858,0.02804,,,,,,
859,0.0296,,,,,,
860,0.02981,,,,,,
861,0.02904,,,,,,
862,0.02912,,,,,,
863,0.02811,,,,,,
864,0.02778,,,,,,
865,0.02718,,,,,,
866,0.02694,,,,,,
867,0.02736,,,,,,
868,0.0277,,,,,,
869,0.02812,,,,,,
870,0.02819,,,,,,
871,0.12153,,,,,,
872,0.02838,,,,,,
873,0.02811,,,,,,
874,0.0195,,,,,,
875,0.02564,,,,,,
876,0.02564,,,,,,
877,0.02178,,,,,,
878,0.0197,,,,,,
879,0.00012,,,,,,
880,0.02095,,,,,,
881,0.02345,,,,,,
882,0.02516,,,,,,
883,0.0293,,,,,,
884,0.02974,,,,,,
885,0.02881,,,,,,
886,0.02838,,,,,,
887,0.02717,,,,,,
888,0.02635,,,,,,
889,0.02561,,,,,,
890,0.02345,,,,,,
891,0.02485,,,,,,
892,0.02605,,,,,,
893,0.02736,,,,,,
894,0.02818,,,,,,
895,0.03008,,,,,,
896,0.03334,,,,,,
897,0.02833,,,,,,
898,0.02745,,,,,,
899,0.02805,,,,,,
900,0.02563,,,,,,
901,0.0001,,,,,,
902,0.00008,,,,,,
903,0.00008,,,,,,
904,0.00008,,,,,,
905,0.00008,,,,,,
906,0.02176,,,,,,
907,0.02562,,,,,,
908,0.01782,,,,,,
909,0.01885,,,,,,
910,0.01834,,,,,,
911,0.01771,,,,,,
912,0.01783,,,,,,
913,0.02214,,,,,,
914,0.02358,,,,,,
915,0.0249,,,,,,
916,0.02978,,,,,,
917,0.02602,,,,,,
918,0.02853,,,,,,
919,0.0407,,,,,,
920,0.02799,,,,,,
921,0.02593,,,,,,
922,0.01923,,,,,,
923,0.01959,,,,,,
924,0.01736,,,,,,
925,0.00008,,,,,,
926,0.00008,,,,,,
927,0.00008,,,,,,
928,0.00008,,,,,,
929,0.00008,,,,,,
930,0.01634,,,,,,
931,0.01662,,,,,,
932,0.05188,,,,,,
933,0.06336,,,,,,
934,0.02731,,,,,,
935,0.02613,,,,,,
936,0.02454,,,,,,
937,0.02561,,,,,,
938,0.02561,,,,,,
939,0.02319,,,,,,
940,0.02358,,,,,,
941,0.02471,,,,,,
942,0.02564,,,,,,
943,0.02612,,,,,,
944,0.0457,,,,,,
945,0.02711,,,,,,
946,0.00009,,,,,,
947,0.00009,,,,,,
948,0.00014,,,,,,
949,0.0004,,,,,,
950,0.00023,,,,,,
951,0.00009,,,,,,
952,0.0001,,,,,,
953,0.00017,,,,,,
954,0.01877,,,,,,
955,0.02496,,,,,,
956,0.02868,,,,,,
957,0.03887,,,,,,
958,0.06444,,,,,,
959,0.02952,,,,,,
960,0.02823,,,,,,
961,0.02844,,,,,,
962,0.02726,,,,,,
963,0.02612,,,,,,
964,0.02493,,,,,,
965,0.00009,,,,,,
966,0.00008,,,,,,
967,0.00008,,,,,,
968,0.00008,,,,,,
969,0.00008,,,,,,
970,0.00008,,,,,,
971,0.00008,,,,,,
972,0.00008,,,,,,
973,0.00008,,,,,,
974,0.00008,,,,,,
975,0.00008,,,,,,
976,0.00008,,,,,,
977,0.00008,,,,,,
978,0.00011,,,,,,
979,0.02488,,,,,,
980,0.02688,,,,,,
981,0.02705,,,,,,
982,0.0282,,,,,,
983,0.02839,,,,,,
984,0.0282,,,,,,
985,0.0282,,,,,,
986,0.02799,,,,,,
987,0.0272,,,,,,
988,0.02564,,,,,,
989,0.02522,,,,,,
990,0.02607,,,,,,
991,0.02638,,,,,,
992,0.02883,,,,,,
993,0.02608,,,,,,
994,0.01761,,,,,,
995,0.01771,,,,,,
996,0.01711,,,,,,
997,0.01634,,,,,,
998,0.0172,,,,,,
999,0.01662,,,,,,
1000,0.0172,,,,,,
1001,0.01855,,,,,,
1002,0.01953,,,,,,
1003,0.01923,,,,,,
1004,0.0255,,,,,,
1005,0.0259,,,,,,
1006,0.02542,,,,,,
1007,0.02294,,,,,,
1008,0.01996,,,,,,
1009,0.00011,,,,,,
1010,0.00011,,,,,,
1011,0.0148,,,,,,
1012,0.02319,,,,,,
1013,0.02582,,,,,,
1014,0.02582,,,,,,
1015,0.02845,,,,,,
1016,0.02917,,,,,,
1017,0.02613,,,,,,
1018,0.01966,,,,,,
1019,0.01954,,,,,,
1020,0.0262,,,,,,
1021,0.02693,,,,,,
1022,0.02808,,,,,,
1023,0.02814,,,,,,
1024,0.02074,,,,,,
1025,0.02111,,,,,,
1026,0.02165,,,,,,
1027,0.02217,,,,,,
1028,0.03486,,,,,,
1029,0.02145,,,,,,
1030,0.02158,,,,,,
1031,0.02101,,,,,,
1032,0.02054,,,,,,
1033,0.02043,,,,,,
1034,0.02023,,,,,,
1035,0.01981,,,,,,
1036,0.02685,,,,,,
1037,0.02072,,,,,,
1038,0.0212,,,,,,
1039,0.02131,,,,,,
1040,0.02814,,,,,,
1041,0.0213,,,,,,
1042,0.02099,,,,,,
1043,0.02113,,,,,,
1044,0.02119,,,,,,
1045,0.01986,,,,,,
1046,0.02031,,,,,,
1047,0.02016,,,,,,
1048,0.02043,,,,,,
1049,0.02099,,,,,,
1050,0.02131,,,,,,
1051,0.02249,,,,,,
1052,0.04074,,,,,,
1053,0.0286,,,,,,
1054,0.02111,,,,,,
1055,0.021,,,,,,
1056,0.02063,,,,,,
1057,0.01958,,,,,,
1058,0.01964,,,,,,
1059,0.01939,,,,,,
1060,0.01909,,,,,,
1061,0.01954,,,,,,
1062,0.0261,,,,,,
1063,0.02746,,,,,,
1064,0.02812,,,,,,
1065,0.02105,,,,,,
1066,0.01998,,,,,,
1067,0.02011,,,,,,
1068,0.01957,,,,,,
1069,0.01893,,,,,,
